SKU,Local,Forecast sumarizado
408238,00005,248.0
408442,00005,303.0
408510,00005,6271.0
408671,00005,170.0
408672,00005,209.0
4088,00005,91.0
40973,00005,451.0
409902,00005,192.0
409905,00005,1122.0
409908,00005,592.0
409909,00005,368.0
411545,00005,823.0
411600,00005,275.0
412161,00005,18680.0
412592,00005,56.0
41287,00005,621.0
414490,00005,520.0
414887,00005,64.0
414888,00005,64.0
415372,00005,162.0
415408,00005,258.0
415410,00005,88.0
415753,00005,6837.0
416860,00005,338.0
417143,00005,64.0
418273,00005,460.0
418943,00005,104.0
419072,00005,231.0
419073,00005,367.0
419163,00005,128.0
419164,00005,64.0
419464,00005,9635.0
419559,00005,121.0
419840,00005,671.0
421273,00005,593.0
421274,00005,1342.0
422480,00005,116.0
422610,00005,85.0
422611,00005,104.0
423953,00005,104.0
423980,00005,72.0
424195,00005,65.0
424207,00005,120.0
424210,00005,112.0
424559,00005,104.0
424560,00005,112.0
424610,00005,176.0
424670,00005,207.0
424672,00005,112.0
424739,00005,16199.0
424783,00005,152.0
424784,00005,143.0
424827,00005,264.0
42864,00005,139.0
430506,00005,850.0
430574,00005,679.0
430969,00005,11887.0
431265,00005,499.0
431267,00005,1295.0
43988,00005,56.0
440269,00005,72.0
440270,00005,56.0
440642,00005,96.0
440643,00005,72.0
440645,00005,56.0
441012,00005,228.0
441121,00005,113.0
441125,00005,129.0
441126,00005,72.0
441131,00005,96.0
441132,00005,61.0
441151,00005,56.0
441388,00005,56.0
441394,00005,104.0
441395,00005,64.0
447545,00005,112.0
447594,00005,747.0
447601,00005,112.0
448547,00005,136.0
448552,00005,80.0
448634,00005,354.0
448848,00005,244.0
448849,00005,914.0
448850,00005,4003.0
449064,00005,679.0
449299,00005,1194.0
449300,00005,305.0
449316,00005,56.0
449486,00005,216.0
449850,00005,56.0
449968,00005,133.0
449969,00005,117.0
450061,00005,64.0
450298,00005,42268.0
450573,00005,120.0
450575,00005,124.0
450583,00005,185.0
450584,00005,375.0
450596,00005,6289.0
450970,00005,189.0
451029,00005,184.0
451132,00005,6288.0
451148,00005,813.0
451163,00005,11608.0
451337,00005,4612.0
451338,00005,1127.0
451397,00005,112.0
452371,00005,112.0
453094,00005,4358.0
453329,00005,188.0
453573,00005,104.0
453575,00005,157.0
454019,00005,111.0
454020,00005,56.0
454125,00005,211.0
454131,00005,430.0
454525,00005,112.0
454796,00005,56.0
454854,00005,74.0
455105,00005,78.0
455106,00005,124.0
455107,00005,112.0
455108,00005,66.0
455109,00005,122.0
455112,00005,160.0
455113,00005,112.0
455462,00005,116.0
455463,00005,87.0
455464,00005,96.0
455467,00005,125.0
455468,00005,96.0
455469,00005,112.0
455520,00005,168.0
455522,00005,74.0
455523,00005,85.0
455524,00005,118.0
455525,00005,72.0
45642,00005,9922.0
45643,00005,12042.0
45644,00005,959.0
45645,00005,910.0
456564,00005,72.0
457052,00005,260.0
457059,00005,2500.0
457060,00005,784.0
457330,00005,80.0
457683,00005,1415.0
458187,00005,127.0
458189,00005,154.0
458235,00005,311.0
458236,00005,513.0
4589,00005,59.0
4596,00005,72.0
459765,00005,70.0
460589,00005,56.0
462618,00005,2086.0
46282,00005,175.0
462965,00005,1241.0
462990,00005,290.0
463053,00005,112.0
463448,00005,183.0
463450,00005,376.0
463451,00005,431.0
463452,00005,228.0
464114,00005,250.0
464118,00005,335.0
466270,00005,2180.0
466271,00005,2875.0
46691,00005,56.0
467540,00005,199.0
468054,00005,122.0
469084,00005,120.0
469174,00005,96.0
469311,00005,96.0
469339,00005,120.0
469371,00005,99.0
4697,00005,56.0
469833,00005,260.0
469902,00005,112.0
469933,00005,136.0
470119,00005,104.0
470121,00005,113.0
470122,00005,133.0
470123,00005,71.0
470459,00005,64.0
471326,00005,57.0
471613,00005,1333.0
471614,00005,565.0
471965,00005,187.0
47230,00005,141.0
472991,00005,109.0
474063,00005,119.0
474664,00005,196.0
474665,00005,1651.0
475037,00005,337.0
475592,00005,128.0
475593,00005,334.0
475594,00005,359.0
476159,00005,112.0
476161,00005,99.0
476173,00005,62.0
476175,00005,56.0
476210,00005,56.0
476668,00005,120.0
476698,00005,425.0
476799,00005,56.0
476829,00005,56.0
477120,00005,56.0
477218,00005,1054.0
477219,00005,230.0
477222,00005,246.0
477224,00005,296.0
477225,00005,120.0
477226,00005,489.0
477227,00005,240.0
477229,00005,135.0
477658,00005,105.0
477661,00005,72.0
477662,00005,112.0
477894,00005,587.0
477895,00005,1843.0
477896,00005,1801.0
477897,00005,116.0
477899,00005,112.0
477959,00005,64.0
477966,00005,56.0
478042,00005,64.0
478043,00005,120.0
478044,00005,112.0
478045,00005,64.0
478046,00005,64.0
478535,00005,56.0
478537,00005,112.0
478539,00005,56.0
478542,00005,104.0
478543,00005,64.0
478544,00005,153.0
478655,00005,475.0
479254,00005,103.0
479677,00005,177.0
480358,00005,112.0
480359,00005,88.0
480360,00005,64.0
480829,00005,56.0
480988,00005,112.0
480989,00005,64.0
480990,00005,56.0
480992,00005,104.0
481068,00005,112.0
481087,00005,60.0
481705,00005,58.0
481706,00005,56.0
481928,00005,169.0
482395,00005,56.0
482713,00005,4852.0
483593,00005,287.0
484791,00005,184.0
484821,00005,119.0
485480,00005,1395.0
485485,00005,274.0
4886,00005,56.0
489180,00005,685.0
490870,00005,2619.0
491349,00005,152.0
491844,00005,66.0
491845,00005,105.0
491990,00005,98.0
492030,00005,97.0
492053,00005,112.0
492084,00005,64.0
492099,00005,56.0
492341,00005,64.0
492616,00005,56.0
492617,00005,56.0
492618,00005,59.0
493548,00005,88.0
493601,00005,264.0
493765,00005,56.0
495679,00005,65.0
495680,00005,80.0
495682,00005,160.0
496326,00005,89.0
496569,00005,120.0
496586,00005,56.0
496743,00005,113.0
496972,00005,177.0
496973,00005,258.0
497103,00005,381.0
497250,00005,1044.0
497581,00005,62.0
499114,00005,456.0
499194,00005,203.0
499195,00005,114.0
499548,00005,112.0
499761,00005,80.0
499762,00005,104.0
50,00005,112.0
500196,00005,160.0
500486,00005,103.0
500487,00005,56.0
500682,00005,980.0
500684,00005,102.0
500831,00005,452.0
